Order Date,Region,Category,Sub-Category,Sales,Quantity,Profit,Discount
2023-01-01,East,Electronics,Headphones,1612.18,9,179.23,0.0
2023-01-02,North,Furniture,Tables,1223.92,3,146.99,0.3
2023-01-02,East,Office Supplies,Paper,3796.01,3,327.87,0.3
2023-01-02,Central,Furniture,Chairs,2309.96,5,-66.11,0.2
2023-01-02,Central,Furniture,Beds,23.84,1,1.2,0.3
2023-01-03,South,Office Supplies,Pens,4801.79,3,1089.57,0.2
2023-01-03,South,Electronics,Smartphones,2144.01,6,219.16,0.1
2023-01-03,South,Office Supplies,Pens,4821.5,7,516.24,0.3
2023-01-04,West,Furniture,Chairs,4436.16,3,101.43,0.2
2023-01-04,South,Furniture,Chairs,2481.64,10,181.1,0.0
2023-01-05,Central,Electronics,Smartphones,813.68,1,208.72,0.1
2023-01-06,Central,Furniture,Chairs,4928.64,3,-480.14,0.3
2023-01-06,South,Office Supplies,Binders,87.15,3,28.65,0.1
2023-01-07,West,Electronics,Laptops,4404.19,9,326.55,0.0
2023-01-08,East,Office Supplies,Pens,1156.75,6,112.69,0.3
2023-01-09,South,Apparel,Shoes,4757.23,6,454.48,0.1
2023-01-10,Central,Furniture,Beds,786.26,8,154.37,0.3
2023-01-10,South,Office Supplies,Binders,3209.23,6,444.66,0.3
2023-01-11,North,Electronics,Laptops,2803.54,2,988.41,0.2
2023-01-11,East,Electronics,Headphones,822.78,1,302.25,0.2
2023-01-12,North,Electronics,Smartphones,877.15,7,155.9,0.1
2023-01-12,North,Office Supplies,Paper,2011.9,10,377.54,0.1
2023-01-12,North,Electronics,Smartphones,4314.85,4,1208.24,0.2
2023-01-13,North,Electronics,Cameras,3374.77,8,1346.35,0.0
2023-01-14,East,Office Supplies,Pens,4400.62,8,1205.37,0.0
2023-01-14,South,Electronics,Laptops,2526.48,7,359.13,0.3
2023-01-14,West,Office Supplies,Pens,3726.96,7,765.24,0.2
2023-01-14,East,Furniture,Tables,4139.8,9,-392.52,0.2
2023-01-15,East,Office Supplies,Envelopes,888.15,9,66.99,0.3
2023-01-15,West,Office Supplies,Pens,2939.95,3,1036.47,0.2
2023-01-17,Central,Office Supplies,Paper,2141.39,2,270.18,0.0
2023-01-17,North,Electronics,Smartphones,978.09,10,281.08,0.1
2023-01-18,East,Office Supplies,Paper,93.27,4,18.54,0.1
2023-01-20,West,Office Supplies,Pens,1755.25,5,128.76,0.2
2023-01-21,North,Electronics,Smartphones,259.69,2,57.91,0.2
2023-01-21,North,Office Supplies,Envelopes,597.46,5,185.52,0.0
2023-01-22,South,Furniture,Sofas,2088.74,5,-99.46,0.2
2023-01-22,East,Electronics,Cameras,1636.9,9,365.81,0.1
2023-01-23,West,Furniture,Tables,2348.67,7,-88.25,0.0
2023-01-23,West,Apparel,Jeans,4314.11,1,854.57,0.1
2023-01-23,South,Electronics,Smartphones,44.49,1,7.36,0.2
2023-01-24,North,Office Supplies,Paper,3728.48,9,543.42,0.2
2023-01-25,South,Electronics,Laptops,2916.97,7,976.36,0.2
2023-01-28,Central,Office Supplies,Paper,530.72,6,141.68,0.1
2023-01-29,North,Apparel,Jeans,4911.21,8,1932.9,0.1
2023-01-29,Central,Furniture,Chairs,4982.67,9,449.19,0.0
2023-01-30,East,Office Supplies,Binders,3369.67,4,1265.01,0.2
2023-02-01,East,Apparel,T-shirts,2148.65,10,655.35,0.3
2023-02-02,North,Office Supplies,Pens,4607.44,3,1703.06,0.2
2023-02-03,North,Electronics,Smartphones,2299.77,1,844.73,0.2
